Frame number,1840
First frame,1
Point frequency,200
Analog frequency,1000

Time,GRW1.F,,,GRW1,,,GRW2.F,,,GRW2,,
s,N,N,N,mm,mm,mm,N,N,N,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.835,-7.36741,30.0012,224.438,260.673,1031.14,0,-2.78911,-34.2943,248.327,254.538,1409.32,0
0.84,-7.55224,29.4416,222.969,261.99,1031.51,0,-2.74983,-34.7515,253.42,254.474,1409.04,0
0.845,-7.48228,27.2724,221.416,261.839,1032.7,0,-3.04074,-34.0547,255.697,255.971,1408.63,0
0.85,-7.25965,25.5687,217.412,264.284,1032.72,0,-3.02711,-33.1778,256.309,256.768,1408.54,0
0.855,-7.30851,24.446,220.094,265.387,1034.31,0,-3.14537,-32.1291,257.025,257.067,1409.19,0
0.86,-7.45209,23.981,222.58,265.961,1034.34,0,-3.54264,-31.4706,258.493,257.735,1408.65,0
0.865,-8.46234,22.4476,224.605,266.425,1035.88,0,-4.97865,-29.8354,260.689,258.367,1408.14,0
0.87,-8.49587,21.3934,223.633,268.246,1036.12,0,-6.46629,-27.9609,257.669,260.656,1406.5,0
0.875,-9.42997,20.8448,222.806,268.296,1035.61,0,-7.62878,-26.1768,257.007,260.194,1406.45,0
0.88,-9.78625,19.5948,221.551,269.244,1036.82,0,-8.6556,-25.6325,258.166,260.72,1405.91,0
0.885,-10.1166,17.6245,223.214,270.621,1036.03,0,-9.36404,-24.247,259.722,261.53,1406.13,0
0.89,-11.6421,16.4365,221.27,271.522,1038.99,0,-10.4865,-23.663,261.942,261.153,1407.78,0
0.895,-11.9686,14.7753,223.468,271.068,1038.05,0,-10.2357,-23.268,265.404,260.46,1407.4,0
0.9,-11.8872,12.471,221.129,273.615,1039.83,0,-10.1864,-23.2933,266.427,261.151,1406.69,0
0.905,-12.2825,10.9907,225.166,273.477,1038.58,0,-10.361,-22.7532,273.216,259.5,1407.84,0
0.91,-12.5353,10.0624,228.043,273.53,1039.53,0,-10.4323,-22.3,278.102,259.81,1407.28,0
0.915,-12.8292,10.0719,229.317,273.519,1040.16,0,-10.4815,-21.4779,280.443,258.912,1408.75,0
0.92,-13.5877,9.77986,233.176,273.371,1038.51,0,-11.5477,-20.6334,281.674,258.124,1408.27,0
0.925,-14.3569,10.6782,237.231,273.807,1038.21,0,-12.536,-19.8223,283.809,258.179,1408.6,0
0.93,-15.0361,9.93569,242.11,272.796,1038.33,0,-14.3306,-19.0134,289.664,256.749,1407.83,0
0.935,-15.3033,9.23641,246.799,272.446,1037.47,0,-16.7504,-18.7908,295.411,255.996,1410.73,0
0.94,-15.1378,8.49765,249.545,272.354,1038.83,0,-18.053,-18.6654,297.753,255.453,1411.56,0
0.945,-15.1002,9.55531,252.805,271.047,1037.68,0,-18.5631,-18.8986,299.516,255.01,1411.33,0
0.95,-15.0033,10.2954,256.059,271.022,1036.96,0,-17.9768,-19.7338,306.254,253.658,1413.15,0
0.955,-15.7911,10.3751,260.669,270.057,1036.67,0,-16.6644,-20.6986,306.913,251.917,1412.09,0
0.96,-16.2826,9.70928,263.013,268.803,1035.21,0,-15.0149,-22.0232,309.731,249.778,1414.03,0
0.965,-16.6381,8.77856,266.192,269.614,1035.68,0,-12.4101,-22.945,309.577,248.904,1417.24,0
0.97,-17.5791,7.37461,271.167,267.931,1034.86,0,-10.7214,-23.915,312.838,247.101,1417.3,0
0.975,-18.1206,7.98018,276.272,267.016,1033.96,0,-9.99347,-23.8924,315.795,245.061,1419.37,0
0.98,-19.1047,8.68154,280.961,267.164,1033.93,0,-9.36764,-24.2876,316.674,243.534,1419.96,0
0.985,-18.4467,10.0008,284.469,266.523,1033.57,0,-8.92911,-24.2685,314.751,243.629,1421.07,0
0.99,-17.1606,11.4215,287.43,265.758,1032.42,0,-8.75896,-24.5731,314.838,241.584,1422.15,0
0.995,-16.6227,12.7458,289.384,264.524,1031.81,0,-8.84586,-25.5736,318.437,240.153,1422.66,0
1,-14.9581,12.7796,291.274,264.033,1032.16,0,-8.28898,-25.9215,320.748,238.606,1424.08,0
1.005,-14.3625,13.2341,291.702,263.129,1031.22,0,-7.60626,-26.1377,321.899,237.061,1425.5,0
1.01,-13.0841,13.5756,291.113,261.811,1031.17,0,-5.2262,-27.0952,322.252,236.197,1426.08,0
1.015,-11.9902,13.6451,295.118,261.326,1030.41,0,-3.48552,-26.7622,324.031,235.434,1424.97,0
1.02,-10.4917,14.5303,300.252,260.147,1029.04,0,-2.16603,-25.7392,329.734,234.261,1427.09,0
1.025,-9.60192,14.5244,304.216,259.168,1028.57,0,-0.263348,-25.2632,330.358,232.862,1426.04,0
1.03,-8.21923,15.6465,305.736,259.048,1028.63,0,0.310867,-24.5149,331.091,231.771,1426.74,0
1.035,-7.02355,16.2404,306.896,258.105,1028.81,0,0.847599,-24.404,331.422,231.453,1427.24,0
1.04,-7.05499,16.2601,310.272,257.147,1027.37,0,1.80407,-24.445,333.711,230.658,1427.76,0
1.045,-6.97568,16.1038,312.128,255.784,1026.96,0,0.929798,-24.0108,335.876,228.727,1428.66,0
1.05,-7.90374,15.5646,311.097,256.241,1027.32,0,0.41547,-23.7953,337.395,228.407,1428.95,0
1.055,-9.12418,15.044,312.471,255.714,1026.63,0,-0.432836,-23.5249,335.655,227.533,1428.88,0
1.06,-10.7353,14.8159,317.386,255.445,1026.03,0,-0.378537,-23.2003,337.809,226.963,1429.93,0
