Frame number,1337
First frame,1
Point frequency,200
Analog frequency,1000

Time,GRW1.F,,,GRW1,,,GRW2.F,,,GRW2,,
s,N,N,N,mm,mm,mm,N,N,N,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1.05,2.4275,30.3854,335.019,215.247,968.954,0,8.42918,-33.6647,358.6,202.682,1441.79,0
1.055,2.13218,30.2782,336.166,215.333,967.984,0,9.10082,-34.3632,358.683,202.613,1441.58,0
1.06,1.34956,30.677,335.557,215.983,969.081,0,9.11215,-35.1812,359.792,203.567,1441.2,0
1.065,1.49057,30.8869,335.899,215.871,968.812,0,9.65481,-35.2011,361.947,203.679,1440.81,0
1.07,1.46668,31.5863,335.884,216.787,968.882,0,10.5881,-36.1173,365.544,204.266,1441.66,0
1.075,0.70105,32.4527,335.99,216.871,970.068,0,10.1199,-36.54,366.776,204.415,1440.78,0
1.08,1.1766,32.5877,338.095,217.635,969.018,0,10.0095,-37.7026,370.195,204.939,1441.75,0
1.085,0.466823,33.4556,339.045,218.411,968.817,0,10.3485,-38.2236,372.064,205.255,1440.43,0
1.09,0.322684,34.5718,339.542,218.707,969.397,0,10.4297,-39.2444,379.085,206.509,1441.37,0
1.095,0.203439,35.1914,342.329,220.066,968.821,0,10.29,-39.7311,378.802,207.049,1440.26,0
1.1,-0.60909,35.0919,342.131,220.555,969.692,0,10.2686,-40.735,382.669,207.519,1440.31,0
1.105,-1.04558,35.9054,343.592,221.199,970.287,0,10.3733,-41.9187,385.895,208.424,1440.39,0
1.11,-1.67261,35.7053,345.65,221.422,969.839,0,10.5618,-42.907,389.741,209.013,1440.8,0
1.115,-2.13525,36.0429,346.527,222.193,970.175,0,11.0411,-43.6938,390.184,209.839,1440.09,0
1.12,-2.8718,36.4331,345.808,223.199,969.386,0,10.6533,-44.1179,392.214,210.422,1439.86,0
1.125,-3.59762,37.2534,345.984,222.636,970.221,0,10.3554,-45.5354,394.707,210.966,1439.83,0
1.13,-3.96796,37.398,349.596,223.782,969.721,0,10.1,-46.0168,394.073,212.047,1438.78,0
1.135,-4.3427,37.8013,348.605,223.911,970.211,0,9.32196,-47.468,397.909,212.446,1439.1,0
1.14,-4.35629,38.525,351.082,223.639,969.506,0,9.53736,-47.6412,399.011,213.082,1438.8,0
1.145,-4.64474,39.7138,351.177,224.227,970.176,0,9.66599,-48.1797,400.557,212.847,1438.37,0
1.15,-4.78432,40.7095,353.702,224.133,969.682,0,10.1743,-48.6395,404.019,213.229,1438.68,0
1.155,-4.99095,42.3569,354.324,224.632,969.312,0,10.4523,-49.7233,402.018,214.211,1437.85,0
1.16,-5.45223,42.9852,353.76,224.596,969.632,0,11.1703,-50.4256,403.031,214.187,1438.04,0
1.165,-5.79127,43.3862,354.628,224.801,969.588,0,11.7255,-50.7706,403.435,213.761,1438.08,0
1.17,-5.88692,44.475,353.739,225.612,968.67,0,11.9936,-51.0457,402.937,213.611,1437.95,0
1.175,-6.54704,44.9754,355.053,225.872,969.236,0,11.8794,-51.7418,400.383,213.467,1437.93,0
1.18,-6.90096,45.2405,353.195,226.175,968.92,0,11.1956,-51.6209,400.473,214.358,1437.62,0
1.185,-8.07899,45.7988,353.804,226.642,967.98,0,10.416,-51.7338,398.59,214.754,1436.9,0
1.19,-8.2302,45.6237,348.225,227.484,969.841,0,9.46365,-52.1682,395.683,215.453,1437.36,0
1.195,-8.60855,45.9445,347.793,227.549,968.948,0,9.09436,-52.263,392.417,216.22,1437.03,0
1.2,-9.06074,45.9604,345.512,228.094,968.546,0,8.23548,-52.521,391.6,216.311,1437.03,0
1.205,-9.85926,45.8435,344.321,229.147,968.285,0,7.33619,-52.1073,386.149,217.475,1435.99,0
1.21,-10.818,46.0245,340.392,229.978,969.385,0,6.53582,-51.7871,386.015,218.553,1436.41,0
1.215,-10.5697,46.1327,337.451,229.898,968.497,0,6.19179,-52.1451,381.026,218.557,1435.75,0
