Frame number,1853
First frame,1
Point frequency,200
Analog frequency,1000

Time,GRW1.F,,,GRW1,,,GRW2.F,,,GRW2,,
s,N,N,N,mm,mm,mm,N,N,N,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.975,5.08693,47.2736,274.348,238.178,990.235,0,-8.07145,-36.2276,214.183,241.73,1408.75,0
0.98,5.41876,46.9503,277.324,238.559,989.508,0,-8.04172,-35.4874,214.08,243.351,1408.06,0
0.985,4.4387,46.9094,280.141,238.619,989.456,0,-8.50297,-35.1623,216.226,243.902,1406.94,0
0.99,3.60214,46.6977,279.725,239.115,989.471,0,-9.16597,-34.3746,218.858,244.506,1406.9,0
0.995,2.69197,46.096,277.923,239.477,990.423,0,-9.75377,-34.1208,221.651,244.644,1404.87,0
1,2.43991,45.3509,276.808,239.923,989.995,0,-9.92431,-33.6368,223.248,246.214,1406.03,0
1.005,2.17042,44.876,279.587,240.248,989.933,0,-10.5884,-33.5629,227.657,247.271,1405.38,0
1.01,1.66176,44.1944,282.552,240.864,990.917,0,-11.2399,-33.1402,230.117,247.624,1405.16,0
1.015,0.833717,43.6958,285.849,241.461,989.759,0,-11.9347,-33.3269,235.426,248.03,1404.15,0
1.02,0.261656,43.1081,287.281,242.543,989.852,0,-12.7256,-32.4732,238.03,248.843,1404.03,0
1.025,-0.615275,42.329,287.98,242.925,989.613,0,-13.9739,-31.2223,239.234,249.157,1403.47,0
1.03,-0.255227,41.2112,288.055,242.707,989.313,0,-15.0707,-31.1253,239.793,251.342,1402.25,0
1.035,-0.307264,40.74,286.947,243.26,990.7,0,-15.2214,-31.3359,244.333,250.978,1402.25,0
1.04,-0.458918,40.4414,284.334,243.98,990.669,0,-16.0447,-30.612,245.982,252.251,1402.04,0
1.045,0.182479,39.9469,286.18,243.59,989.499,0,-16.0812,-30.4561,248.868,252.427,1401.74,0
1.05,0.809281,39.8601,285.574,244.115,989.588,0,-16.3937,-29.9429,250.082,253.473,1401.86,0
1.055,1.17516,40.2095,286.62,245.021,991.393,0,-16.6307,-30.7296,253.902,253.917,1401.94,0
1.06,1.0201,39.5895,287.432,245.595,990.039,0,-16.7687,-30.2001,259.049,253.369,1403.08,0
1.065,0.769985,39.4086,288.597,245.756,990.466,0,-16.8909,-29.9987,261.901,253.664,1402.54,0
1.07,0.916035,38.8737,286.387,246.718,990.307,0,-16.5731,-29.2924,263.021,253.791,1402.32,0
1.075,0.110938,38.2873,288.287,247.644,990.735,0,-16.5612,-29.561,265.317,253.776,1402.36,0
1.08,0.168724,38.0025,291.191,247.456,991.552,0,-16.9392,-29.6441,268.975,253.416,1402.25,0
1.085,0.710185,37.813,292.35,248.789,991.196,0,-17.3401,-29.8398,273.803,252.708,1401.88,0
1.09,0.350755,36.9166,291.629,248.371,991.296,0,-17.5526,-29.3149,278.253,252.84,1403.33,0
1.095,1.2542,36.3298,293.749,249.103,991.941,0,-17.0287,-29.5154,280.104,251.815,1402.36,0
1.1,1.52135,36.1633,294.201,249.559,991.676,0,-17.0423,-30.0252,284.025,251.101,1402.71,0
1.105,1.17867,35.739,296.227,249.769,990.95,0,-16.3886,-30.2251,285.79,251.587,1403.47,0
1.11,1.70501,35.4818,297.098,249.688,991.687,0,-15.7295,-30.3015,291.492,249.77,1405.13,0
1.115,2.00757,34.9505,298.649,250.318,990.432,0,-14.9291,-30.6405,293.03,249.154,1405.76,0
1.12,2.28006,34.5107,300.174,250.312,991.547,0,-14.6016,-30.8404,297.844,247.982,1406.38,0
